query,domain,species,target_id,gene,bit_score,evalue,note
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0A8M2BA88|A0A8M2BA88_DANRE,SV=1,985.3,8.8e-296,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0A8M3B5J1|A0A8M3B5J1_DANRE,SV=1,10.0,0.45,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0AB32TCP7|A0AB32TCP7_DANRE,SV=1,9.9,0.48,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0AB32TGL0|A0AB32TGL0_DANRE,SV=1,9.8,0.52,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0A8M2BHT3|A0A8M2BHT3_DANRE,SV=1,9.5,0.63,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,7955_v2,tr|A0AB32TBS6|A0AB32TBS6_DANRE,SV=1,9.3,0.73,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,sp|P06400|RB_HUMAN,SV=1,1837.9,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|Q59HH0|Q59HH0_HUMAN,SV=1,1835.9,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8RJG1|A0ACI8RJG1_HUMAN,SV=1,1822.4,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8U643|A0ACI8U643_HUMAN,SV=1,1811.5,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8T8P3|A0ACI8T8P3_HUMAN,SV=1,1808.2,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0A3B3IS71|A0A3B3IS71_HUMAN,SV=1,1789.2,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|B4DTN0|B4DTN0_HUMAN,SV=1,1779.7,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8PG32|A0ACI8PG32_HUMAN,SV=1,1734.0,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0AAQ5BH01|A0AAQ5BH01_HUMAN,SV=1,1732.1,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0AAQ5BH24|A0AAQ5BH24_HUMAN,SV=1,1695.9,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0AAQ5BH52|A0AAQ5BH52_HUMAN,SV=1,1653.6,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|B4DRB3|B4DRB3_HUMAN,SV=1,1606.3,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,sp|Q08999|RBL2_HUMAN,SV=1,1390.4,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8SB16|A0ACI8SB16_HUMAN,SV=1,1380.8,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8S704|A0ACI8S704_HUMAN,SV=1,1378.7,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8R8K1|A0ACI8R8K1_HUMAN,SV=1,1371.9,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8QLQ6|A0ACI8QLQ6_HUMAN,SV=1,1360.7,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8QII3|A0ACI8QII3_HUMAN,SV=1,1309.7,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8UJK9|A0ACI8UJK9_HUMAN,SV=1,1298.0,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8UN00|A0ACI8UN00_HUMAN,SV=1,1297.7,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8QKB9|A0ACI8QKB9_HUMAN,SV=1,1283.8,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8QIH6|A0ACI8QIH6_HUMAN,SV=1,1271.5,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8QJ14|A0ACI8QJ14_HUMAN,SV=1,1262.3,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8UJJ9|A0ACI8UJJ9_HUMAN,SV=1,1247.0,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8TZ23|A0ACI8TZ23_HUMAN,SV=1,1223.8,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8UJK7|A0ACI8UJK7_HUMAN,SV=1,1220.4,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8R2Y1|A0ACI8R2Y1_HUMAN,SV=1,1153.7,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8UJK1|A0ACI8UJK1_HUMAN,SV=1,1150.9,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8UJP9|A0ACI8UJP9_HUMAN,SV=1,1142.2,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,sp|P28749|RBL1_HUMAN,SV=1,1040.4,0,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8TFY4|A0ACI8TFY4_HUMAN,SV=1,958.7,2.7e-287,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|F5H837|F5H837_HUMAN,SV=1,875.7,3.3e-262,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8TFW9|A0ACI8TFW9_HUMAN,SV=1,757.9,1.3e-226,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0AAQ5BH04|A0AAQ5BH04_HUMAN,SV=1,448.9,3e-133,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0A2R8YFL6|A0A2R8YFL6_HUMAN,SV=1,151.3,2.6e-43,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0A2R8Y743|A0A2R8Y743_HUMAN,SV=1,126.5,8.1e-36,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0A0X9QC09|A0A0X9QC09_HUMAN,SV=1,98.9,1.7e-27,real_hit
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|C9JY42|C9JY42_HUMAN,SV=1,15.1,0.038,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8V319|A0ACI8V319_HUMAN,SV=1,12.9,0.17,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,sp|Q8TAZ6|CKLF2_HUMAN,SV=1,12.4,0.24,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|X6RDA4|X6RDA4_HUMAN,SV=1,12.2,0.28,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0A2R8Y4H6|A0A2R8Y4H6_HUMAN,SV=1,11.8,0.36,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|B4DP07|B4DP07_HUMAN,SV=1,11.6,0.42,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A6XNC9|A6XNC9_HUMAN,SV=1,11.6,0.42,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A6XND1|A6XND1_HUMAN,SV=1,11.4,0.47,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|B3KVF9|B3KVF9_HUMAN,SV=1,11.4,0.49,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0A087WTD4|A0A087WTD4_HUMAN,SV=1,11.4,0.49,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A6XND0|A6XND0_HUMAN,SV=1,11.4,0.49,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|B4DN53|B4DN53_HUMAN,SV=1,11.3,0.51,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,sp|P17936|IBP3_HUMAN,SV=1,11.2,0.57,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8RUV2|A0ACI8RUV2_HUMAN,SV=1,11.0,0.62,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8S5Q1|A0ACI8S5Q1_HUMAN,SV=1,10.8,0.72,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8TXP1|A0ACI8TXP1_HUMAN,SV=1,10.7,0.79,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,sp|Q8WXF1|PSPC1_HUMAN,SV=1,10.4,0.98,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8RG84|A0ACI8RG84_HUMAN,SV=1,10.3,1,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8QLV0|A0ACI8QLV0_HUMAN,SV=1,10.3,1,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8RMU0|A0ACI8RMU0_HUMAN,SV=1,10.2,1.1,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8UCY0|A0ACI8UCY0_HUMAN,SV=1,10.0,1.3,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8V209|A0ACI8V209_HUMAN,SV=1,9.8,1.4,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8Q064|A0ACI8Q064_HUMAN,SV=1,9.5,1.8,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8S4W2|A0ACI8S4W2_HUMAN,SV=1,9.5,1.8,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,sp|P55318|FOXA3_HUMAN,SV=1,8.8,3,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,sp|P05976|MYL1_HUMAN,SV=1,8.2,4.3,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,sp|Q5TGY3|AHDC1_HUMAN,SV=1,7.9,5.4,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0A087WZG9|A0A087WZG9_HUMAN,SV=1,7.9,5.4,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8V8U1|A0ACI8V8U1_HUMAN,SV=1,7.2,8.9,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8QUF5|A0ACI8QUF5_HUMAN,SV=1,7.2,9.1,borderline_noise
sp|P06400|RB_HUMAN,sp|P06400|RB_HUMAN,9606,tr|A0ACI8VDD4|A0ACI8VDD4_HUMAN,SV=1,7.2,9.2,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,10090,sp|Q64701|RBL1_MOUSE,SV=1,2179.0,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,10090,sp|Q64700|RBL2_MOUSE,SV=1,1852.7,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,10090,sp|P13405|RB_MOUSE,SV=1,952.1,3.5e-286,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,10090,sp|P62915|TF2B_MOUSE,SV=1,15.3,0.0031,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,10090,sp|P70353|NFYC_MOUSE,SV=1,13.6,0.0098,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,10090,sp|Q3TUF7|YETS2_MOUSE,SV=1,5.7,2.4,borderline_noise
RBL1,full_protein,4932,NA,NA,NA,NA,zero_hits(n=0)
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7227,sp|Q24472|RBF_DROME,SV=1,1269.0,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7227,sp|P29052|TF2B_DROME,SV=1,13.5,0.0022,real_hit
RBL1,full_protein,7955,NA,NA,NA,NA,zero_hits(n=0)
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7955_v2,tr|A0A8M1NIS0|A0A8M1NIS0_DANRE,SV=1,1925.7,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7955_v2,tr|A0A8M9QAH9|A0A8M9QAH9_DANRE,SV=1,1922.5,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7955_v2,tr|A0A8M3AZW2|A0A8M3AZW2_DANRE,SV=1,1835.9,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7955_v2,tr|A0ACD6B5T3|A0ACD6B5T3_DANRE,SV=1,1835.5,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7955_v2,tr|A0A8M2BA88|A0A8M2BA88_DANRE,SV=1,1488.8,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7955_v2,tr|A0A8M1NAN6|A0A8M1NAN6_DANRE,SV=1,989.8,5.7e-297,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7955_v2,tr|A0AC58IA68|A0AC58IA68_DANRE,SV=1,987.3,3.4e-296,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7955_v2,tr|A0A8M1PBR0|A0A8M1PBR0_DANRE,SV=1,11.0,0.25,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7955_v2,tr|A0ACM8Q3R7|A0ACM8Q3R7_DANRE,SV=1,6.2,7.1,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,7955_v2,tr|A0A8M3B3Q0|A0A8M3B3Q0_DANRE,SV=1,6.1,7.2,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,sp|Q08999|RBL2_HUMAN,SV=1,2062.3,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8SB16|A0ACI8SB16_HUMAN,SV=1,2054.2,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8QLQ6|A0ACI8QLQ6_HUMAN,SV=1,2047.0,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8R8K1|A0ACI8R8K1_HUMAN,SV=1,2040.8,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8QII3|A0ACI8QII3_HUMAN,SV=1,1987.7,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,sp|P28749|RBL1_HUMAN,SV=1,1969.1,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UJK9|A0ACI8UJK9_HUMAN,SV=1,1958.6,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8QKB9|A0ACI8QKB9_HUMAN,SV=1,1942.7,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UN00|A0ACI8UN00_HUMAN,SV=1,1932.3,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8QIH6|A0ACI8QIH6_HUMAN,SV=1,1924.4,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8QJ14|A0ACI8QJ14_HUMAN,SV=1,1899.4,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UJJ9|A0ACI8UJJ9_HUMAN,SV=1,1893.3,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UJK7|A0ACI8UJK7_HUMAN,SV=1,1872.4,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8S704|A0ACI8S704_HUMAN,SV=1,1862.2,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8TZ23|A0ACI8TZ23_HUMAN,SV=1,1849.7,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8TFY4|A0ACI8TFY4_HUMAN,SV=1,1830.1,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UJK1|A0ACI8UJK1_HUMAN,SV=1,1791.6,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8R2Y1|A0ACI8R2Y1_HUMAN,SV=1,1764.3,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UJP9|A0ACI8UJP9_HUMAN,SV=1,1567.4,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8TFW9|A0ACI8TFW9_HUMAN,SV=1,1557.3,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|F5H837|F5H837_HUMAN,SV=1,1261.1,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0A3B3IS71|A0A3B3IS71_HUMAN,SV=1,1188.8,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,sp|P06400|RB_HUMAN,SV=1,1188.7,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|Q59HH0|Q59HH0_HUMAN,SV=1,1186.9,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|B4DTN0|B4DTN0_HUMAN,SV=1,1184.6,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8RJG1|A0ACI8RJG1_HUMAN,SV=1,1179.8,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8U643|A0ACI8U643_HUMAN,SV=1,1173.8,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8T8P3|A0ACI8T8P3_HUMAN,SV=1,1171.2,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0AAQ5BH52|A0AAQ5BH52_HUMAN,SV=1,1139.9,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0AAQ5BH01|A0AAQ5BH01_HUMAN,SV=1,1114.6,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0AAQ5BH24|A0AAQ5BH24_HUMAN,SV=1,1110.4,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|B4DRB3|B4DRB3_HUMAN,SV=1,1097.8,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8PG32|A0ACI8PG32_HUMAN,SV=1,1095.7,0,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0AAQ5BH04|A0AAQ5BH04_HUMAN,SV=1,262.0,9.4e-77,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0A2R8Y743|A0A2R8Y743_HUMAN,SV=1,102.9,1.1e-28,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0A0X9QC09|A0A0X9QC09_HUMAN,SV=1,93.8,6.1e-26,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0A2R8YFL6|A0A2R8YFL6_HUMAN,SV=1,37.6,5.9e-09,real_hit
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|B1APE2|B1APE2_HUMAN,SV=1,14.9,0.042,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|B1APE1|B1APE1_HUMAN,SV=1,14.9,0.042,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,sp|Q00403|TF2B_HUMAN,SV=1,14.3,0.062,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8S779|A0ACI8S779_HUMAN,SV=1,12.1,0.28,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8SQB4|A0ACI8SQB4_HUMAN,SV=1,11.0,0.64,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8SQA9|A0ACI8SQA9_HUMAN,SV=1,10.8,0.74,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8SPW8|A0ACI8SPW8_HUMAN,SV=1,10.7,0.77,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UEW2|A0ACI8UEW2_HUMAN,SV=1,10.6,0.8,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8RMF3|A0ACI8RMF3_HUMAN,SV=1,10.4,0.98,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8SQA5|A0ACI8SQA5_HUMAN,SV=1,10.2,1.1,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8PFR8|A0ACI8PFR8_HUMAN,SV=1,10.1,1.1,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8S9P3|A0ACI8S9P3_HUMAN,SV=1,9.2,2.2,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8RE86|A0ACI8RE86_HUMAN,SV=1,9.1,2.3,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UF89|A0ACI8UF89_HUMAN,SV=1,9.1,2.3,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UEV4|A0ACI8UEV4_HUMAN,SV=1,9.1,2.4,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8SPV7|A0ACI8SPV7_HUMAN,SV=1,9.0,2.4,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UJ41|A0ACI8UJ41_HUMAN,SV=1,8.9,2.7,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,sp|Q13952|NFYC_HUMAN,SV=1,8.4,3.8,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8QS00|A0ACI8QS00_HUMAN,SV=1,8.3,4.1,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8SGB5|A0ACI8SGB5_HUMAN,SV=1,8.3,4.1,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UIS5|A0ACI8UIS5_HUMAN,SV=1,7.5,7.1,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UGP8|A0ACI8UGP8_HUMAN,SV=1,7.4,7.4,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8RAI6|A0ACI8RAI6_HUMAN,SV=1,7.4,7.7,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8SPU7|A0ACI8SPU7_HUMAN,SV=1,7.4,7.8,borderline_noise
sp|P28749|RBL1_HUMAN,sp|P28749|RBL1_HUMAN,9606,tr|A0ACI8UHX0|A0ACI8UHX0_HUMAN,SV=1,7.2,8.7,borderline_noise
